ID,BAL_LIMIT,SEX,EDUCATION,MARRIAGE,AGE,BILLED_AMT1,BILLED_AMT2,BILLED_AMT3,BILLED_AMT4,BILLED_AMT5,BILLED_AMT6,PAID_AMT1,PAID_AMT2,PAID_AMT3,PAID_AMT4,PAID_AMT5,PAID_AMT6,PAST_1,PAST_2,PAST_3,PAST_4,PAST_5,PAST_6,PAID_NEXT_MONTH
60,68000,1,1,2,38,15132,4464,1734.4,378.8,126.4,1518.8,4550.4,1738.4,378.8,126.4,1518.8,126.4,-1,-1,-1,-1,-1,-1,1
61,24000,2,2,2,26,18884,18462,18735.2,20017.6,20369.2,20863.2,0,690,1600,800,880,840,2,2,0,0,2,2,0
62,8000,1,2,2,33,156,156,312,156,322.4,7641.2,156,312,0,322.4,7641.2,400,-1,-1,-1,2,-1,-1,0
63,8000,1,2,1,63,592,156,312,0,156,156,0,312,0,800,468,528,-1,2,-1,-1,-2,-1,1
64,144000,2,2,2,48,144745.2,137307.2,114282.8,108611.6,110703.6,111981.2,0,4570.4,3912.4,4148,5559.6,3980.8,1,2,0,0,0,0,1
65,80000,1,1,2,35,21885.2,23273.6,24914.4,24522,25138.4,17053.6,2000,2280,800,1200,800,400,0,0,0,2,0,0,1
66,144000,2,1,1,38,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,1
67,188000,1,1,2,33,39972.4,38038.4,32155.2,30252.4,28585.6,26366,2028,1607.6,807.6,848,838.4,697.6,0,0,0,0,0,0,1
68,56000,1,1,2,32,700,401.2,0,176,546.8,356,401.2,0,176,546.8,356,0,-1,-1,-1,-1,-1,-1,1
69,64000,1,2,2,26,30421.6,29596.8,29298.4,28528.4,56597.6,29165.2,1310,1200,1200,1200,1400,1000,0,0,0,0,0,0,1
70,4000,1,2,2,25,4013.6,3695.6,4010,4090.8,3973.2,3953.6,0,640,200,0,400,0,3,2,2,2,2,2,0
71,40000,2,2,1,33,38064,37730.8,0,0,1097.2,712.8,800,0,0,1097.2,712.8,0,0,0,0,-2,-1,-1,1
72,36000,2,3,1,27,10322.4,6767.6,7026.4,3487.2,2572.8,1062,647.6,506.4,419.2,412.8,662,0,0,0,0,0,0,0,1
73,56000,2,1,2,29,54099.6,55430.8,56622,44340.8,45455.6,38020.8,2200,2280,1680,1880,1520,1600,0,0,0,0,0,0,1
74,108000,2,1,1,37,51376.8,52474,53718.8,83358.4,42609.6,41778.8,2520,2720,1600,1680,2800,1200,2,0,0,0,0,0,1
75,200000,1,1,2,29,81679.2,80659.2,79019.6,76837.2,75090.4,73544,2973.6,2536.8,2110.4,2108.4,2311.2,2011.6,0,0,0,0,0,0,1
76,64000,1,2,2,28,794.8,0,39800,-200,-200,-200,0,39800,0,0,0,0,-2,-2,-2,-2,-2,-2,1
77,32000,2,2,1,36,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,1
78,96000,1,2,1,52,167.6,167.6,167.6,167.6,167.6,167.6,167.6,167.6,167.6,167.6,167.6,167.6,-1,-1,-1,-1,-1,-1,1
79,84000,2,2,1,41,10699.6,13780.4,10080,7940,6212,5208.4,5600,1202.8,2000,400,5208.4,8868.4,0,0,0,0,0,-1,1
80,56000,2,1,2,30,0,0,0,0,20000,0,0,0,0,20000,0,0,1,-2,-2,-2,-1,-1,1
81,140000,2,1,1,47,116.4,116.4,116.4,116.4,116.4,116.4,116.4,116.4,116.4,116.4,116.4,116.4,-1,-1,-1,-1,-1,-1,1
82,4000,1,2,2,28,3944.4,6058.8,2656.4,6127.2,3444,3516,439.6,893.6,454,434.4,127.6,127.6,0,0,0,0,0,0,1
83,20000,1,1,2,36,17518.4,17769.2,11992,12000,0,0,840,480,400,0,0,0,0,0,0,0,0,-2,1
84,92000,2,2,2,29,29408.4,30276.4,31146.8,32382.8,33478,34473.6,1600,1600,2000,2000,1600,3200,0,0,0,0,0,0,1
85,112000,2,2,2,41,49598.8,50508.8,50781.2,42620.4,39836.8,40242.8,2240,2160,2002.4,1300,1360,1400,0,0,0,0,0,0,1
86,52000,2,2,1,31,52885.6,52944.4,51561.6,40714,40739.6,39718.4,2200,2361.6,1914,1539.6,1718.4,1255.6,0,0,0,0,0,0,1
87,20000,2,2,1,38,18063.6,19650,19182.4,17431.2,14050.4,13768,1880,0,801.6,1400,0,400,2,2,2,0,0,2,1
88,8000,2,2,2,50,3073.6,3426,1807.6,1408,672,2114,480,803.2,672,0,2114,0,0,0,0,0,2,-1,1
89,32000,1,1,2,39,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,1
90,36000,1,3,2,30,6376,7896.8,7654.8,8084.8,8349.6,8554.8,1760,0,560,400,400,400,0,0,2,0,0,0,0
91,252000,2,1,1,33,178905.2,183504.8,188119.2,192234.8,154234.8,149564,8000,8000,8000,6000,6000,6000,0,0,0,0,0,0,1
92,8000,2,2,2,42,1254,1057.2,981.6,900,918.4,1726,800,918.4,918.4,936.8,1726,1118.4,0,0,0,-1,-1,-1,1
93,96000,2,1,2,29,8504,8257.2,15420.8,7432,5109.2,2169.2,0,7600,174.8,400,400,2201.2,1,2,0,0,0,0,1
94,40000,1,1,2,29,1170.8,332.4,490.4,132,0,0,332.4,490.4,132,0,0,0,-1,-1,-1,-1,-1,-2,0
95,80000,1,2,1,42,61636,69006.4,67360.4,65679.6,69768,71394,8400,0,0,5200,2800,468,0,0,3,2,2,2,0
96,64000,2,1,1,41,284,266.4,161.2,660,134.4,316,266.4,161.2,660,134.4,316,456.4,-2,-2,-2,-2,-2,-2,1
97,28000,2,2,2,40,9031.2,9442.4,9847.6,10042.8,10253.6,10457.2,558.8,564,359.2,372.4,374.4,388,0,0,0,0,0,0,1
98,156000,1,1,1,31,228,1072.4,474.4,777.6,1986.4,1189.2,1076.4,476.4,779.2,1994.8,1192.8,6218.4,-2,-2,-2,-2,-2,-2,1
99,92000,1,1,1,50,64351.6,64718.8,66042.8,42203.2,43240.4,44037.6,2800,2642.8,1509.2,1716,1665.6,800,0,0,0,0,0,0,1
100,40000,1,2,2,28,24030.8,24975.2,19693.6,20208.4,20728,21222.4,1600,1200,800,800,880,680,0,0,0,0,0,0,1
101,8000,1,2,2,24,3768.8,4042.4,5650.8,5839.2,5627.6,5876,400,1684.4,400,0,400,400,1,2,2,2,2,0,0
102,212000,1,1,2,32,85608.8,157465.6,94156.8,93056,95601.6,94662.8,8000,4000,4000,4000,3600,4200,0,0,0,0,0,0,1
103,96000,1,1,2,34,1264.8,1264.8,1249.6,1264.8,1264.8,1264.8,1264.8,1249.6,1280,1264.8,1264.8,1252.4,-2,-2,-2,-2,-2,-2,1
104,24000,1,1,2,26,3267.6,4410.8,10987.6,60,104.8,1386.8,1200,6800,0,104.8,1386.8,4500,0,0,0,0,-1,-1,1
105,20000,1,2,1,30,172,0,18502.8,18390,520,17594.8,0,18502.8,880,520,17594.8,554.4,-1,-1,-1,0,-1,-1,1
106,96000,2,3,2,38,94506.8,95603.6,77334,77990.4,78867.2,78767.2,3600,3000,2800,2648.8,6860,8000,0,0,0,0,0,0,0
107,12000,2,1,2,29,11474.4,11048,11265.6,12177.6,11954.8,11661.2,0,800,1200,0,400,400,1,2,0,0,2,0,1
108,36000,2,2,2,27,11063.2,4746,1840.8,11370.4,3591.2,2041.6,2683.2,3541.2,11596,3611.2,2047.6,171.2,0,-1,-1,-1,-1,-1,1
109,24000,2,1,1,27,18230,17321.2,10845.2,7832.8,7643.6,6894.4,572.8,4511.6,784,400,253.2,210.8,0,0,0,0,0,0,1
110,96000,2,1,1,40,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,1
111,20000,2,2,2,24,11854.8,12322,12134.4,5351.2,-408.8,11942.8,730.4,480,107.2,0,12579.2,316.8,0,0,0,0,0,-1,1
112,48000,2,1,2,31,1482.4,40733.2,41243.2,40381.2,33495.6,20569.6,40000,2147.6,1605.6,400,400,400,0,0,0,0,0,0,1
113,84000,2,2,2,37,83920.8,83368.4,76294.8,56908.4,54868.4,52274.8,3520,3209.2,1923.6,2000.4,2000,2000,0,0,0,0,0,0,1
114,36000,2,3,1,46,168.4,3808.8,3689.2,3392,872.4,1193.2,3768.8,0,31.6,872.4,1196.4,981.2,-1,-1,3,2,-1,-1,1
115,32000,2,2,1,33,1440.4,-350.4,2576,1120.8,516,1818.8,3.6,3696.8,0,516,1818.8,740,0,0,-1,0,-1,-1,0
116,84000,2,1,1,42,126.4,126.4,126.4,126.4,126.4,350.4,126.4,126.4,126.4,126.4,350.4,410.4,-1,-1,-1,-1,-1,-1,1
117,120000,2,3,1,48,58915.6,60080.4,-1479.6,1656.8,680,0,4000,0,4002,0,0,0,0,0,0,-1,0,0,1
118,144000,2,2,2,34,68.4,423.2,1397.6,2535.6,852.4,214,423.2,1397.6,2535.6,852.4,214,32800,-2,-2,-2,-2,-2,-2,1
119,20000,2,2,2,25,15333.2,16160.4,17158.8,17755.2,18611.2,17994.4,1200,1400,1000,1200,0,1400,0,0,0,0,2,2,1
120,32000,2,2,2,27,30976,31367.2,31206,31828.4,32048.4,30921.6,1400,1200,1400,1200,1200,1200,0,0,0,0,0,0,1
121,48000,2,3,1,40,44439.2,45945.2,47215.2,47522,23684,24506.8,2240,2600,2000,1200,1200,1200,0,0,0,0,0,0,1
122,32000,1,3,1,33,11061.2,10681.2,10742.4,11137.6,10992,11224.4,0,583.6,578.8,393.2,409.2,416.8,1,2,0,0,0,0,1
123,36000,2,1,2,28,489.6,1248,684.8,2000,0,1684,1251.2,684.8,2000,0,1684,300,-1,-1,-1,-1,-1,-1,1
124,8000,2,1,2,24,7504.4,7266.8,7680.8,8071.2,8112.4,8117.2,0,653.6,644,284,286.8,288.8,1,2,0,0,0,0,1
125,12000,1,2,1,40,7410.4,5011.6,2374.8,2352,672,0,600,2374.8,2355.2,672,0,0,0,0,-1,-1,-1,-1,0
126,40000,2,2,2,29,38862.4,39053.6,38584.4,38790,40512,40774,1160,520,1200,2180,800,0,2,3,3,2,2,3,0
127,20000,1,2,1,43,14678.4,18416.4,19156,3364.8,3764.8,0,4000,1204.8,400,400,0,0,0,0,0,0,0,0,1
128,40000,2,1,2,30,19984.4,19542.4,19959.6,21362.8,20780.4,21278,0,732.4,1735.6,0,833.2,775.6,3,2,0,0,2,0,1
129,68000,1,1,2,32,296,296,296,296,296,296,296,296,296,296,296,296,-2,-2,-2,-2,-2,-2,0
130,56000,1,3,1,47,621.2,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-2,-2,-2,-2,1
131,92000,2,2,1,27,3666.8,4187.2,4288.8,4617.2,4023.2,8063.2,556.8,800,400,0,4040,901.2,0,0,0,0,0,0,1
132,72000,2,1,2,35,1800,1032,71.2,600,0,447.2,1032,71.2,600,0,447.2,532.4,-2,-2,-1,-1,-1,-1,1
133,12000,2,2,1,24,5709.6,5746.8,5318.4,5006.4,0,0,400,0,0,0,0,0,1,2,2,0,0,-2,0
134,168000,2,2,1,48,101710,99870.8,92811.2,93222,76607.2,76925.2,4001.6,4408,4095.2,4008.8,2800,2400,0,0,0,0,0,0,1
135,12000,2,3,1,44,8787.6,9322.4,11140.4,10839.2,11946.4,11710.4,682.4,2100.4,0,1407.6,0,547.2,0,0,0,2,2,2,0
136,120000,1,1,1,42,2259.6,2259.6,2259.6,2279.6,2186.4,7951.2,2259.6,2259.6,2279.6,2246.4,8108.8,0,-2,-2,-2,-2,-2,-2,1
137,48000,2,1,2,30,997.6,557.6,312,188,-68,72,800,312,188,0,200,534,-1,-1,-1,-1,-1,-1,1
138,20000,2,2,1,51,1250.4,10144.8,9473.2,9133.2,540.8,8316.4,10147.2,494.8,182.8,541.6,8317.6,216,-1,-1,0,0,-1,-1,1
139,112000,2,1,2,32,10671.6,20889.2,10035.2,3770.8,1131.6,79.2,20889.2,10040,3770.8,1135.2,79.2,1655.6,-1,-1,-1,-2,-2,-2,1
140,64000,2,2,2,39,58933.2,57514.4,60736.8,59184.8,62768.4,63766.4,80,4800,0,4600,2324.4,0,2,2,2,2,2,2,0
141,96000,2,1,1,39,2009.6,6872.4,11358,9832.8,4286,3738.4,6906.8,11389.2,4827.6,8.4,1191.2,10358,-1,-1,-1,0,0,0,1
142,64000,2,1,2,26,14800,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,1
143,20000,1,2,2,25,20927.6,20474,20533.6,19724.8,3210.8,3441.2,0,1280,1244,12942.4,280,680,1,2,0,0,-1,0,1
144,20000,1,2,2,28,19064.4,17565.6,15493.6,9260.8,7944,7794.4,715.6,619.6,644.4,320,320.8,304,0,0,0,0,0,0,1
145,36000,2,2,1,35,10872,10708.8,28159.2,22506.4,19121.6,17692,562,22555.2,44.8,711.6,714.4,2165.6,0,0,0,2,0,0,0
146,64000,2,2,2,26,5215.2,63490,62323.2,39264,39622.8,40393.6,62000,2000,2000,1414.8,2000,1600,0,0,0,0,0,0,1
147,144000,1,1,2,42,199.6,199.6,199.6,5254.4,3664,1100.8,0,0,5267.6,1113.6,4.8,5717.2,-1,3,2,-1,-1,2,0
148,84000,1,2,1,40,130.4,0,1073.6,0,4260.8,130.4,0,1073.6,0,4260.8,130.4,0,-1,-1,-1,-1,-1,-1,1
149,68000,2,1,1,38,487.2,973.6,614.8,862.4,759.2,1062.4,973.6,614.8,862.4,759.2,1062.4,650.4,-1,-1,-1,-1,-1,-1,1
150,20000,2,2,2,29,16956.4,17875.6,19268.8,18774.8,19428,20057.6,1200,1680,0,1200,1520,0,0,0,0,2,0,0,1
151,12000,2,3,1,48,0,0,0,5628.4,5740,5860,0,0,5628.4,205.6,212.8,217.2,1,-2,-2,-1,0,0,1
152,56000,2,1,2,31,52104.4,38220,38509.2,36423.6,37043.6,38073.6,1389.6,1600,1600,1400,3200,2000,0,0,0,0,0,0,1
153,20000,2,3,2,59,20210,0,0,0,0,0,0,0,0,0,0,0,2,2,-2,-2,-2,-2,0
154,96000,2,1,2,31,12152,6231.6,8198.4,6118.4,9732.8,9558.4,4009.2,4000,2000,6000,6000,2000,-1,0,0,0,0,0,1
155,52000,2,2,1,42,1670.4,4722.4,793.6,1859.6,2690.8,189.2,4735.6,1200,1859.6,2690.8,189.2,667.6,-1,-1,-1,-1,-1,-1,1
156,48000,2,1,2,25,46814,46249.6,46881.6,46734,31170.4,30797.2,2400,2400,1600,1600,1200,1400,0,0,0,0,0,0,1
157,80000,2,1,2,39,30144,23035.6,21884.4,17758.4,10379.2,5802,820,6000,2401.2,338,116,5086,0,0,0,0,0,0,1
158,64000,2,2,1,27,33202,33609.2,32706,33706,33774.8,32506,1560,1320,1562.4,1200,1240,1248,0,0,0,0,0,0,1
159,20000,2,1,2,29,18076,18110.8,17976.4,0,0,0,2110.8,1976.4,0,0,0,0,0,0,0,0,-2,-2,1
160,48000,1,2,1,36,46016,46948.4,47617.6,48034.4,48264.8,47338,2400,2240,1800,1720,0,1920,2,2,2,2,2,2,1
161,24000,2,2,1,29,17502.8,11908.8,12284,11565.6,11929.2,11566.4,800,800,600,600,600,440,0,0,0,0,0,0,1
162,92000,2,3,1,42,742.4,12901.6,1922,640,1884.8,1386.4,12901.6,1927.6,640,1884.8,1386.4,1279.6,-1,-1,-1,-1,-1,-1,1
163,80000,2,1,1,52,664.8,992.8,7708.8,8955.2,8442,1388.4,992.8,7708.8,4001.6,4000,1388.4,5501.6,-1,-1,-1,0,0,-1,1
164,4000,1,1,2,26,3534.8,3021.6,3314.8,3832,3706.8,4038.4,0,600,800,280,600,0,2,2,0,0,0,0,0
165,112000,2,3,2,49,716.8,0,916.8,461.2,242.8,1230.4,0,916.8,461.2,0,1230.4,1993.2,2,2,-1,-1,2,-1,0
166,32000,2,3,2,36,234,-158,-896.4,0,0,0,158,738.4,3503.6,0,0,0,-2,-2,-2,-2,-2,-2,1
167,144000,2,1,1,41,8568.4,12441.6,7167.2,7703.6,10769.6,7619.6,12444,7167.2,7783.6,10769.6,7619.6,3059.2,-1,-1,-1,-1,-1,-1,1
168,8000,1,2,2,26,6682.4,7336.8,7102,7186.8,7015.2,7458.8,880,0,320,0,560.4,0,1,2,3,2,2,2,1
169,40000,1,1,2,37,11643.6,0,0,0,0,0,0,0,0,0,0,19188,0,0,-2,-2,-2,-2,1
170,60000,2,2,2,28,50994.8,48234.4,47514,46962.4,42529.2,40871.6,2400,1800,2160,1560,1800,1600,0,0,0,0,0,0,1
171,4000,1,2,2,34,3719.6,3830.4,3611.2,3857.6,3916,3996,452.8,553.6,400,78.4,80,0,2,0,0,0,0,0,1
172,48000,1,1,2,35,3431.2,2596.8,3307.2,2668.8,4689.6,1856.8,2200.8,3168.4,2280,4333.6,1600,1400,0,0,0,0,0,0,1
173,112000,2,1,2,34,86020.8,76437.6,78081.6,79636.4,80632.4,82421.6,2800,2880,3520,2920,3080,6400,-1,0,0,0,0,0,1
174,92000,2,1,1,41,388,590,654.4,459.6,133.6,183.6,593.2,656,460.8,134,184,221.2,-2,-2,-2,-2,-2,-2,1
175,52000,2,1,2,31,16489.6,18054.4,19588,21096,22586.8,24047.6,1800,1800,1800,1800,1800,1800,0,0,0,0,0,0,1
176,20000,2,1,1,37,18328.8,18869.2,19436.8,-8843.2,18283.6,15675.2,965.2,1132.8,15.6,36793.2,628,578,0,0,0,0,-1,0,1
177,88000,2,1,2,38,735.2,368.4,377.2,586.8,10030,2744.8,369.2,378,588.4,10060,2752.8,3086,-1,-1,-1,-1,-1,-1,1
178,8000,2,2,2,46,7431.2,7971.2,7470.8,7401.2,6892.4,6164,800,800,800,440,634.4,202.4,0,0,0,0,0,0,1
179,20000,2,2,1,32,13924.4,12301.2,2672,0,0,0,800,400,0,0,0,0,0,0,0,0,-2,-2,0
180,116000,1,1,2,30,64847.2,60146.4,59579.6,56684.4,49102,86455.2,2400,2400,2000,4000,40000,3072.4,0,0,0,0,0,0,1
181,36000,1,1,1,43,35522,34775.6,34544,26858,12333.6,20234,1400,1600,1200,1000,16880,760,0,0,0,0,0,0,1
182,120000,2,1,2,30,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,1
183,60000,1,1,2,40,55602,54140,59216.4,57303.6,57007.6,56864.8,0,6000,0,2039.6,2188.8,2000,1,2,2,2,0,0,1
184,32000,1,2,1,55,26593.6,23934.8,21346.8,19261.6,17285.6,17691.6,1092.4,823.2,680,626,692,724.8,0,0,0,0,0,0,1
185,20000,2,2,1,34,18978,14958,3943.2,3414.4,3869.6,3836.4,678.8,447.2,114,119.6,444,16082.8,0,0,0,0,0,0,0
186,128000,1,2,2,28,121481.2,123248.4,81951.6,57590.4,57256.8,58028,4866.8,3334,2045.2,2024.8,2088.4,2073.6,0,0,0,0,0,0,1
187,72000,1,1,2,31,0,120,296,0,0,0,120,296,0,0,0,0,-2,-1,-1,-1,-2,-2,0
